"id","visit","center","bia1a","bia1a1","bia1a2","bia1c","bia1c1","bia2a","bia2a1","bia2c","bia2c1","bia3a","bia3a1","bia3c","bia3c1","bia4a","bia4a1","bia4c","bia4c1","bia5a","bia5a1","bia5c","bia5c1","bia6a","bia6a1","bia6c","bia6c1","bia7a","bia7a1","bia7c","bia7c1","bia8","bia1b","bia1d","bia2b","bia2d","bia3b","bia3d","bia4b","bia4d","bia5b","bia5d","bia6b","bia6d","bia7b","bia7d","bia9"
"SW21028",8,"SW","SAY PLEASE",,,"BEG",,"SAY ""WHAT HAPPENED?""",,"""WHAT'S WRONG?""",,"SAY ""NO""",,"RUN AWAY",,"TELL A GROWN UP",,"TELL A FRIEND",,"SAY ""I WAS HERE FIRST""",,"SAY ""CAN I CUT YOU PLEASE (P) LIKE CUT BACK IN","LINE","RUN OVER AND SAY ""WHAT'S THE MATTER",,"RUN OVER AND TRY AND STOP THE FIGHT (P) BY","STEPPING BETWEEN THEM AND ASKING THEM WHAT IS THE MATTER.","RUN OVER AND SAY ""WHY ARE YOU FIGHTING?""",,"GO OVER AND STOP THE FIGHT BY SAYING ""STOP,","STOP AND TELL ME WHAT'S WRONG""","RMR",1,1,1,1,1,5,4,4,1,1,1,7,1,1,10/15/1997
"SW21030",8,"SW","GO BUY ONE",,,"GO ASK MY FRIEND IF HE GETS ONR BASKETBALL (P)","FRIEND HAS A BASKETBALL","I WOULD DEFINITELY CALL THE POLICE",,"RUN AS FAST AS I CAN (P) RUN TO NEIGHBORS HOUS","E","I WOULD SAY NO",,"I WOULD JUST SAY  ""NO"" I AM NOT GOING TO GIVE","YOU MY MONEY","I WOULD JUST SAY STOP",,"I WOULD JUST SAY GET OUT OF MY WAY (P) I DON'T","KNOW (P) I WOULD TELL THEM TO GET OUT","I WOULD JUST PUSH HIM BACK",,"TELL THE DUTY (WE HAVE DUTY AT THE SCHOOL)",,"I WOULD JUST SAY STOP THE FIGHTING",,"I WOULD JUST SAY STOP THE FIGHTING",,"I WOULD JUST SAY FRIEND, STOP FIGHTING WITH THE OT","HER KID","I WOULD JUST GET OVER THERE & GET HIS HANDS AN","D LET HIM STOP THE FIGHT (P) WHO? MY FRIEND","KSP",5,5,4,5,1,1,1,22,2,4,1,1,1,7,11/15/1996
"SW21042",8,"SW","I'D AGREE WITH THE KID AND NOT TAKE THE BALL",,,"I'D ASK IF BALL WAS HIS, AND TAKE IT FROM HIM &","GIVE IT TO WHO IT BELONGS (P) ASK HIM TO GIVE IT TO ME SO I COULD RETURN IT","I'D ASK IF HE WAS GOING TO HIT ME",,"I'D BLOCK HIS HITS BECAUSE I KNOW KARATE. GET","INTO A KARATE STANCE IN CASE HE'D HIT ME.JUST BE READY,BUT WOULDN'T HIT HIM","I'D SAY NO",,"I'D PRETEND TO HIT HIM SO THAT HE'D BE SCARED,","BUT I WOULDN'T REALLY HIT HIM","I'D RUN AFTER HIM AND PRETEND TO","SCARE HIM,BUT I WOULDN'T HIT HIM","TELL THE TEACHER",,"I'D GET BACK IN LINE (HOW?) I'D","JUST GET BACK IN LINE EITHER IN FRONT OR IN BACK OF THE KID","TELL THE TEACHER",,"I'D GO OVER AND TRY TO STOP THE","FIGHT (P) PUT MY HANDS BETWEEN THEM","TELL A PARENT",,"I'D SAY WHAT ARE YOU GUYS FIGHTING FOR?",,"TALK TO THEM AND TRY TO GET THEM TO TALK IT","OUT","CAW",5,1,1,7,1,2,2,4,7,4,7,4,1,1,11/15/1996
"SW21074",8,"SW","I WOULD ASK HIM NICELY.  MAYBE HE MIGHT GIVE IT",,,"I'D GO TO MY AUNT'S HOUSE AND GET ONE OF MY COUS","IN'S BALLS","I WOULD WALK AWAY",,"I WOULD SAY ""HI"" AND TRY TO MAKE FRIENDS WITH","HIM, CHEER HIM UP","I'D SAY NO AND TELL HIM TO GET HIS OWN MONEY AND GET HIS OWN.",,"I'D WALK AWAY AND GO HOME AND GET SOME OF MY A","UNTIE'S COKE AND SAVE MY MONEY FOR ICE CREAM.","I WOULD WALK AWAY",,"TELL HIM TO MAKE NASTY STORIES ABOUT SOMEONE E","LSE NOT ME.","PUSH HIM BACK, PUSH HIM OUT OF","LINE AND GET MY SPOT BACK.","PUNCH HIM IN THE FACE WITH MY RING.",,"TELL HIM TO BREAK IT UP.  I DON'T W","ANT NOBODY TO GET HURT.","JUST WALK AWAY AND MIND MY OWN BUSINESS.",,"TELL MY FRIEND TO QUIT FIGHTING AND TELL THE KID T","O QUIT FIGHTING, THEN WALK AWAY WITH MY FRIEND.","GET YOUR FRIEND TO QUIT FIGHTING BY SAYING HIS","NAME AND IF HE DOESN'T LISTEN, GRAB HIS SHIRT AND PULL HIM OUT OF THE FIGHT","EEB",1,5,5,1,1,5,5,1,2,2,1,5,1,7,3/15/1998
"SW21089",8,"SW","GET ANOTHER BALL",,,"ASK SOMEONE ELSE, PLAY WITH SOMEONE ELSE WHO HAS","A BALL","IGNORE THEM",,"CALL 911 TO PICK UP MY DEAD BODY",,"SAY, ""I DON'T HAVE TO GIVE YOU MY MONEY.  MY MOM GAVE ME THIS MONEY, AN","D YOU CANNOT HAVE IT""","GO TELL MY MOM",,"TELL THEM WHAT THEY ARE SAYING AB","OUT ME.  CONFRONT THEM","RUN TO MY MOMMY AND TELL HER THEY (THE BOYS) W","ERE TELLING NASTY SECRETS","SAY, ""YOU CAN'T PUSH ANYONE OUT","OF LINE!""","GO TO YOUR MOMMY",,"GO OVER AND TELL THEM NOT TO FIGHT,","YOU COULD GET HURT","TELL MY MOMMY",,"TELL THEM, ""YOU CAN'T FIGHT WITH MY BEST FRIEND!""",,"TELL MY MOMMY",,"RR",5,5,5,22,1,4,1,4,1,4,1,4,1,4,1/15/1998
"SW21091",8,"SW","I WOULD JUST LEAVE HIM ALONE",,,"ASK HIM IF HE WANTS TO PLAY BY ACTING NICE W/ME","IF HE PLAYS W/ME WE CAN BOTH USE THE BALL","RUN AWAY",,"RUN AND GET HELP FROM A GROWN UP",,"SAY ""NO""",,"I WOULD BUY A CUP AND GIVE HIM SOME.IF WE","SHARE WE BOTH HAVE SOME","TELL A TEACHER OR A GROWN UP",,"JUST WALK AWAY AND IGNORE IT",,"PUSH HIM BACK AND TAKE MY","SPACE BACK","TELL HIM NEVER TO DO THAT, IT ISN'T NICE",,"TELL THEM TO STOP FIGHTING BY","SAYING IT TO THEM NICELY","TELL TEHM TO WALK AWAY OR TO JUST GET ALONG","AND THEY WILL BE MUCH HAPPIER","I WOULD TELL MY FRIEND TO STOP FIGHTING BY SAYING","POLITELY TO HER","TELL HER TO COME AND PLAY W/ME INSTEAD OF","FIGHTING SO SHE WON'T GET IN TROUBLE.I WOULD TELL HER ST LIKE THAT.","GML",5,6,5,4,1,6,4,5,2,1,1,1,1,1,7/15/1996
"SW21157",8,"SW","IF THERE WAS A BALL I WOULD GO GET IT, (P) LIKE IF THERE IF THERE WAS A BALL","WAY UP THERE, I WOULD GO GET IT",,"I WOULD JUST ASK SOMEBODY ELSE IF I COULD TRY OU","T W/ THEM","I WOULD TELL ROOM DUTY (SCHOOL HELPER)",,"I WOULD ASK THEM ""WHAT'S THE MATTER"" OR I WOUL","D JUST WALK AWAY","I WOULD JUST WALK AWAY FROM HIM",,"OR I WOULD JUST WALK AWAY & GO & GET A DRINK","FROM THE WATER FOUNTAIN","I WOULD JUST WALK AWAY",,"I WOULD JUST GO TELL MY MOM",,"I WOULD JUST GO TO THE LUNCH LA","DY OR TELL TO THE TEACHER","I WOULD PROBABLY JUST GO TO THE END OF THE LIN","E","I WOULD JUST GO OVER THERE AND TELL","THEM TO STOP","OT I 'LLJUST GO TELL ONE OF THEIR PARENTS",,"I WOULD JUST TELL THEM TO ""STOP & COME ON""",,"OR I WOULD SEE A GROWN UP & I WOULD TELL THEM",,"MTK",5,5,4,1,5,5,5,4,4,5,1,4,1,4,7/15/1997
"SW21162",8,"SW","TELL SOMEBODY ELSE",,,"TRY TO GET ONE (HOW) BUY ONE OR GO OUT & FIND","ONE","WALK AWAY",,"WALK SOMEWHERE ELSE",,"SAY ""SORRY IT'S NOT YOUR $'",,"SAY ""NO GET YOUR OWN $""",,"I'D TELL THE TEACHER THAT IT IS","NOT TRUE","I WOULD SAY ""THAT IS NOT TRUE & THAT'S NOT NIC","E""","SAY ""I WAS THERE FIRST"" B/C","HE WAS AT THE END & HE CAN'T JUST PUSH ME","TELL ON HIM OR HER",,"NOTHING I WOULD IGNORE IT",,"WALK AWAY",,"SAY ""QUIT IT""",,"SAY ""CAN YOU PLEASE STOP""",,"STB",4,5,5,5,1,1,4,1,1,5,5,5,1,1,5/15/1997
"SW21173",8,"SW","I WOULD SAY PLEASE",,,"GO ASK ANOTHER PERSON",,"RUN TO MY HOUSE",,"STICK UP FOR MYSELF, FIGHT BACK AND PUNCH HIM",,"SAY ""NO""",,"ASK ""WHY DO YOU WANT MY MONEY?""",,"TELL PEOPLE STUFF ABOUT HIM",,"TELL THE TEACHER.  THE TEACHER WOULD GIVE HIM","A TIME OUT","TELL THE TEACHER.  SHE WOULD TE","LL THE OTHER KID TO GO TO THE BACK OF THE LINE","WAIT TILL NEXT TIME AND THEN CUT HIM AND PUSH","HIM BACK","GO TELL THE TEACHER AND SHE WOULD G","IVE THEM A TIME OUT OR SUSPEND THEM","SAY ""DON'T FIGHT""",,"SAY ""DON'T FIGHT""",,"GO TELL A TEACHER AND THEY'LL GET A TIME OUT",,"MDS",1,5,5,2,1,1,3,4,4,2,4,1,1,4,12/15/1997
"SW21185",8,"SW","I'LL GO ASK SOMEBODY ELSE FOR A BASKETBALL",,,"GO HOME, GET MONEY AND BUY ONE",,"RUN BACK IN THE HOUSE",,"I MIGHT TELL THEM, ""DON'T BE MAD, BECAUSE I'LL","BE YOUR FRIEND","SAY ""NO""",,"GO HOME AND TELL GRANDMA",,"I'LL TELL THEM, ""DON'T TALK ABOUT","ME BEHIND MY BACK""","TELL THEM THAT I WILL TELL THE PRINCIPLE THAT","YOU ARE TALKING BEHIND MY BACK","LET HIM GO AHEAD",,"TELL THE TEACHER(ONLY IF THEY DON'T GO AHEAD O","R IF THEY TAKE TOO LONG","TELL THEM TO STOP FIGHTING",,"GO TELL A TEACHER",,"TELL THEM TO STOP OR I WON'T BE YOUR FRIEND ANYMOR","E","GO TELL A TEACHER",,"JDM",5,5,5,1,1,4,1,1,5,4,1,4,1,4,8/15/1997
"SW21202",8,"SW","DON'T KNOW (P2X)",,,"DON'T KNOW",,"RUN AWAY",,"YELL FOR HELP (THAT'S ALL I WOULD DO)",,"SAY ""NO,IT'S MINE WHY DON'T YOU GET YOUR MONEY AND PUT IT IN THE","MACHINE","""THAT'S ALL"" (P2X)",,"SAY ""NO, THAT'S NOT TRUE"" (Q) I","WOULD SAY IT TO THE PERSON THAT WAS MAKING FUN OF ME","I WOULD RUN AWAY",,"SAY ""THAT'S NOT NICE.PLEASE GET","IN BACK OF LINE AND WAIT YOUR TURN.  I WAS HERE FIRST""","""THAT'S ALL I WOULD SAY"" (P2X)",,"SAY ""DON'T DO THAT. THAT'S NOT NICE","TO HIT EACH OTHER""","""THAT'S ALL"" (P2X)",,"TELL MY FRIEND ""THAT'S NOT NICE AND STAY AWAY","FROM THAT KID""","""THAT'S ALL I WOULD SAY"" (P2X)",,"ZF",,,5,4,1,,1,5,1,,1,,1,1,8/15/1997
"SW21210",8,"SW","I WOULD GO ASK THE OTHER TEAM IF THEY WANT TO PLAY ONE-ON-ONE",,,"I GO GET MY OWN BASKETBALL",,"I WOULD HURRY AND RUN",,"I WOULD GO BACK TO MY HOUSE",,"I WOULD GO TELL A GROWN-UP",,"I WOULD WALK AWAY",,"I WOULD GO TELL THE TEACHER",,"I WOULD TALK TO HIM ABOUT SAYING NASTY WORDS T","O ME","I WOULD GO TELL THE TEACHER",,"I WOULD GO BACK HOME AND GET A DRINK OF WATER",,"I WOULD GO STOP THEM BY TELLING THE","TEACHER","IF THEY WERE FIGHTING ABOUT IT, I WOULD SAY I","HAVE A QUARTER AND LET'S FLIP FOR IT.","I WOULD DAY ""DON'T FIGHT, OR YOU WILL GET IN TROUB","LE""","I WOULD GO TELL THE STAFF.  I'D TELL THE GROWN","UP OR I'D TELL THE MOM","MTK",5,5,5,5,4,5,4,1,4,5,4,1,1,4,9/15/1997
"SW21223",8,"SW","GO GET ONE",,,"THEN PRACTICE (Q) THAT'S IT, AND GET READY TO","PLAY","RUN",,"TELL (Q) I MIGHT HIT HIM, IF HE MIGHT BE","BIGGER THAN ME","SAY ""NO"" AND RUN",,"TELL MY GRANDMA",,"TALK TO HIM (Q) TELL HIM TO ""STOP","DOING THAT BEFORE I TELL YOUR MOMMA AND MY MOMMA AND TELL THE POLICE""","THAT'S IT (Q) GO OUT AND WAIT FOR THE POLICE","AND LOOK FOR HIM AND GET HIM","TELL THE TEACHER",,"AIN'T NOBODY GOING TO DO THAT, AFTER I TELL","AND AFTER THE TEACHER LEAVES I'LL JUST TELL HIM JUST GET OUT OF MY SPOT...","I'LL SAY ""HEY, STOP! THIS IS A PARK","DO YOU SEE ANYONE ELSE FIGHTING?IF THEY KEEP ON I'LL TELL ON THEIR MOMS","WATCH THEM (Q) TELL THEM DON'T FIGHT AGAIN OR","ELSE I WILL TELL A GROWN UP TO COME AND WATCH YOU AND TELL THEIR MOM","BRING 'EM TO ME AND TALK TO HIM FOR A WHOLE LOT OF","TIME;TAKE HIM TO HIS MOM AND TELL HER WHAT HAPPENED,THEN HE'LL PLAY W/ME","THAT'S ABOUT IT (Q) GO TO A PARK, TO ANOTHER","PARK WHERE HE AIN'T FIGHTING AND PLAY BASEBALL OR SOMETHING","KSP",5,5,5,2,1,4,3,4,4,3,4,4,4,5,4/15/1997
"SW21247",8,"SW","TELL THE BOSS (P) ASK HIM FOR IT POLITELY",,,"DON'T KNOW (P) DON'T KNOW",,"KICK HIM BACK",,"ASK HIM TO STOP",,"SAY NO",,"TELL SOMEONE",,"SAY THEM BACK ABOUT HIM",,"TELL THE POLICE",,"TELL HIM TO STOP",,"KICK HIM",,"TELL THEM TO STOP, NOT FIGHT",,"DON'T KNOW (P) NOTHING",,"TELL THEM TO STOP",,"KICK THEM (THE OTHER KID)",,"JDM",1,,2,1,1,4,3,4,1,2,1,5,1,2,10/15/1997
"SW21251",8,"SW","GO GET MY OWN BALL",,,"GET MY PARENTS TO BUY A BALL",,"GO HOME AND TELL MY DAD",,"TRY TO FIGHT THEM",,"CALL THE COPS",,"GO HOME AND GET SOME MORE MONEY FROM MY","PARENTS","MAKE UP NASTY STORIES ABOUT THEM","AND NOT BE THEIR FRIEND","TELL MY DAD BECAUSE MY DAD IS BIG",,"GET AT THE END OF THE LINE AND","NOT START A FIGHT","TELL MY DAD",,"CALL THE COPS AND MIND MY OWN","BUSINESS","CALL MY NEPHEWS TO COME",,"STOP THE FIGHT AND TAKE MY FRIEND AWAY.  I WOULD P","ULL THEM APART","CALL THE COPS",,"JDM",5,5,4,2,4,5,3,4,5,4,4,4,7,4,1/15/1998
"SW21268",8,"SW","WOULD GO GET ANOTHER BALL",,,"WOULD TEL HIM TO SHARE",,"I WOULD RUN AWAY AND TELL HIS PARENT",,"SEE IF HE WAS STILL THERE AND IF HE WOULD HIT","ME OR I WOULD HIT HIM","I WOULD SAY ""NO"" AND RUN TO ANOTHER MACHINE",,"I WOULD PROBABLY GO TELL HIS MOM OR MY MOM",,"RUN AND TELL HIS MOM AND TELL HIM","NOT TO TALK BEHIND PEOPLE'S BACKS","I WOULD TELL FRIENDS NOT TO PLAY W/HIM B/C","HE'S TELLING NASTY STORIES.KIDS SHOULDN'T BE DOING THAT (P)PLAY S/W ELSE","PUSH HIM BACK AND TELL HIM TO","WAIT IN LINE","IF HE PUSHES ME BACK I WOULD GRAB HIS HAND AND","TAKE HIM TO HIS MOM AND TELL HER TO GRAOUND HIM FOR A WEEK","I WOULD GET IN THE MIDDLE AND PUSH","THEM AWAY AND TAKE ONE OF THE KIDS TOA TEACHER TO SIT THEM IN TIME OUT","TELL THEM TO STOP FIGHTING",,"TELL HER DON'T FIGHT W/HIM BECAUSE HE'S JUST BEING","A PAIN IN THE REAR END AND TO IGNORE HIM","BREAK THEM UP (P) TELL THEM THAT IF THEY FIGHT","ONE OF THEM MAY GET HURT BAD","JDM",5,1,4,2,1,4,1,5,7,7,7,1,1,1,9/15/1997
"SW21279",8,"SW","I WOULD ASK HIM AGAIN, ""PLEASE, CAN I SUE IT BECAUSE I WANT TO SHOOT HOOPS""",,,"I WOULD JUST ASK HIM IF HE WANTS TO PLAY WITH","ME","I WOULD ASK HIM ""WHAT'S THE MATTER?""",,"I WOULD JUST WALK AWAY",,"I WOULD SAY ""NO""",,"I WOULD SAY, ""GET YOUR OWN MONEY""",,"I WOULD SAY, ""PLEASE STOP THAT","BECAUSE IT HURTS MY FEELINGS""","I WOULD TELL SOMEONE, LIKE A GROWNUP, TO TAKE","CARE OF HIM","I WOULD JUST RUN",,"I'D PAY HIM BACK BY PUSHING HIM",,"I WOULD SAY, ""STOP IT, ITS NOT VERY","NICE""","TELL THEM TO SHAKE HANDS AND MAKE UP",,"I WOULD SAY ""GET AWAY FROM THEM IF YOU'RE GOING TO","FIGHT AND COME PLAY WITH ME.""","I WOULD SAY TO THE OTHER PERSON ""GET AWAY","FROM MY FRIEND BECAUSE FIGHTING ISN'T VERY NICE OR APPROPRIATE""","JDM",1,1,1,5,1,1,1,4,5,2,1,1,1,1,2/15/1998
"SW21296",8,"SW","I'D TELL THE COACH, BECAUSE THAT'S EVERYBODY'S BALL",,,"I'D JUST SAY ""CAN I USE IT, PLEASE?""",,"RUN AWAY AND SCREAM, BECAUSE MAYBE HE HAS A GUN",,"CLOSE THE WINDOW AND CLOSE AND LOCK THE DOOR",,"I'D SAY ""YOU CAN'T HAVE IT""",,"I'D JUST SPEND MY MONEY ON A SODA",,"I'D SAY ""STOP SAYING THAT""",,"I'D TELL THE PRINCIPAL",,"I'D SAY, ""STOP PUSHING ME ALL","THE TIME""","JUST PUSH HIM BACK",,"I'D SAY, ""STOP FIGHTING""",,"TELL THE PRINICPAL THAT THEY'RE FIGHTING",,"SAY, ""IF YOU FIGHT, I'LL TELL THE PRINCIPAL""",,"I'D TELL THE PRINICPAL",,"EEB",4,1,5,5,1,5,1,4,1,2,1,4,3,4,1/15/1998
"SW21304",8,"SW","JUST WALK AWAY",,,"ASK SOMEONE ELSE FOR A BALL",,"JUST TURN MY HEAD IF HE GETS BEHIND ME, JUST WALK AWAY",,"NOTHING ELSE, WALK AWAY",,"I WOULDN'T GIVE IT TO HIM.  SAY ""NO""",,"GO TO ANOTHER SODA MACHINE",,"TELL THE TEACHER",,"NOTHING ELSE - JUST TELL THE TEACHER",,"SAY ""DON'T DO THAT NO MORE, YOU","'RE SUPPOSED TO WAIT""","GO TO ANOTHER FOUNTAIN WHERE NO ONE ELSE IS WA","ITING","STOP THE FIGHT BY SAYING ""BE FRIEND","S""","TELL THEM ""I WILL BE YOUR FRIEND IF YOU DON'T","HAVE ANY""","SAY ""STOP FIGHTING.  IF YOU DON'T LIKE THEM, GO","SOMEWHERE ELSE""","NOTHING ELSE - TELL HER TO GO HOME",,"RR",5,5,5,5,1,5,4,4,1,5,1,1,1,1,11/15/1997
"SW21312",8,"SW","JUST SAY ""OKAY"" , THEN WALK AWAY",,,"GO ASK ANOTHER PERSON FOR HELP",,"JUST IGNORE HIM",,"SAY, ""WHAT'S WRONG WITH YOU?""",,"SAY, ""NO, I DON'T HAVE ANY""",,"SAY, ""SORRY, THIS IS MY MONEY""",,"I WOULD DO NOTHING, JUST WALK","AWAY","ASK MY FRIENDS WHAT HE SAID.  I HE CALLED ME","DUMB, I WOULD GO UP TO HIM AND SAY, ""YOU BETTER TAKE THAT BACK""","SAY, ""THAT WASN'T VERY POLITE,","GIVE ME BACK MY SPOT PLEASE""","""MAY I PLEASE HAVE MY SPOT BACK?""",,"TELL THEM NOT TO DO THAT",,"TELL THEM THAT THEY BETTER STOP OR I WILL TELL","THEIR PARENTS","TELL MY FRIENDS, ""LET'S GO, DON'T FIGHT WITH HIM""",,"""STOP OR ELSE I'LL TELL YOUR PARENTS""",,"JDM",5,4,5,1,1,1,5,3,1,1,1,3,1,3,3/15/1998
"SW21320",8,"SW","WALK AWAY",,,"THAT'S IT - WALK AWAY",,"WALK AWAY",,"GO SOMEWHERE ELSE",,"WOULDN'T GIVE IT TO HIM - TELL THE TEACHER",,"TELL THE TEACHER",,"TELL THE TEACHER",,"NOTHING - I WOULDN'T DO ANYTHING",,"TELL THE TEACHER",,"TELL HIM TO STOP",,"GO TELL THE TEACHER",,"TELL THEM TO STOP",,"TELL THEM TO STOP",,"GO TELL THE TEACHER",,"RMR",5,5,5,5,4,4,4,5,4,1,4,1,1,4,1/15/1998
"SW21345",8,"SW","TAKE THE BALL AWAY (P) BY GRABBING THE BALL",,,"THAT'S IT, DON'T  KNOW, TELL A TEACHER",,"PUNCH HIM",,"KICK HIM",,"I WOULD SAY NO",,"DK",,"KICK HIS BUTT",,"THAT'S ALL",,"TELL ON HIM",,"I WOULD PUSH HIM BACK",,"TELL THEM TO STOP",,"TELL AN ADULT",,"I WOULD HELP HIM BEAT UP THE OTHER KID",,"I WOULD TRY TO STOP THE FIGHT, BY TELLING THEM","TO STOP","JDM",2,4,2,2,1,,2,,4,2,1,4,2,1,1/15/2000
"SW21353",8,"SW","LEAVE THE PLAYGROUND",,,"TELL THE COACH TO MAKE HIM SHARE",,"WALK A DIFFERENT WAY",,"TELL MY MOM ON THE KID",,"SAY GET OUT OF MY WAY",,"WALK AWAY",,"MAKE UP NASTY STORIES ABOUT THAT","KID","TELL SOMEONE ON HIM",,"TELL THE TEACHER",,"TELL HIM NOT TO PUSH ME",,"TELL THEM TO STOP FIGHTING",,"TELL AN ADULT TO MAKE THEM STOP",,"PULL MY FRIEND AWAY",,"TELL HIM TO STOP FIGHTING",,"AAM",5,4,5,4,3,5,3,4,4,1,1,4,7,1,11/15/1998
"SW21366",8,"SW","GO GET ANOTHER BALL FROM SOMEONE ELSE.",,,"ASK SOMEONE ELSE TO BORROW A BALL.",,"RUN AWAY FROM THE KID.",,"I WOULD TELL THE KID TO NOT DO ANYTHING BAD.",,"TELL AN ADULT ON HIM.",,"I'D SAY, ""GET YOUR OWN MONEY.""",,"TELL AN ADULT ON HIM.",,"TELL THE KID TO STOP.",,"TELL AN ADULT ON HIM.",,"GET BACK IN LINE WHERE I WAS.",,"TELL THEIR MOM ON THEM.",,"TELL THE KIDS TO STOP.",,"TELL THEM TO STOP FIGHTING.",,"TELL THEIR MOM ON THEM.",,"AAM",5,5,5,1,4,1,4,1,4,7,4,1,1,4,5/15/1998
"SW21377",8,"SW","SAY PLEASE",,,"GO PLAY SOMEWHERE ELSE",,"I WOULD RUN AWAY",,"TELL AN ADULT",,"NOT GIVE THEM MY MONEY (P) TELL THEM I WANT TO GET A SODA",,"IGNORE HIM",,"TELL SOMEBODY",,"TELL HIM NOT TO (P) HOW? GO UP TO HIM AND SAY","STOP MAKING STORIES ABOUT ME","TELL A TEACHER",,"TELL HIM NOT TO PUSH ME",,"ASK THEM WHY THEY ARE FIGHTING",,"TELL SOMEBODY THAT THEY ARE FIGHTING",,"TELL THEN NOT TO FIGHT",,"ASK HIM IF HE DOESN'T WANT TO FIGHT AND IF HE","WANTS TO PLAY WITH ME","JDM",1,5,5,4,1,5,4,1,4,1,1,4,1,1,10/15/1998
"SW21381",8,"SW","SAY, 'WHY CAN'T I? YOU'RE NOT USING IT.""",,,"WALK AWAY",,"RUN",,"SAY, 'WHY ARE YOU MAD?'",,"SAY, 'NO WAY, ITS NOT YOUR MONEY!'",,"SAY, 'GET YOUR OWN MONEY'",,"WALK AWAY",,"SAY,'I DIDN'T DO THAT'",,"SAY, 'WHY DID YOU DO THAT?'",,"TELL THE TEACHER",,"SAY, 'BREAK IT UP!'",,"SAY, 'WHY ARE YOU FIGHTING""'",,"SAY, 'STOP FIGHTING!'",,"SAY, 'BREAK IT UP!'",,"JDM",1,5,5,1,1,1,5,1,1,4,1,1,1,1,12/15/1998
"SW21401",8,"SW","ASK HIM NICELY HOW WE CAN BOTH PLAY WITH IT.",,,"BUY A NEW ONE",,"GO AWAY FROM HIM",,"GO TELL SOMEBODY",,"SAY NO",,"GO TELL SOMEBODY",,"TELL HIM TO STOP",,"GO TELL A GROWNUP",,"SAY STOP PUSHING ME",,"GET BACK IN LINE WHERE I WAS",,"TELL THEM TO STOP FIGHTING",,"TELL A GROWNUP THAT THEY ARE FIGHTING",,"TELL HIM TO STOP FIGHTING WITH HIM",,"TELL THEIR PARENTS",,"JDM",6,5,5,4,1,4,1,4,1,7,1,4,1,4,1/15/1999
"SW21414",8,"SW","I WOULD BE SAD, I WOULD ASK HIM TO PLAY 1 ON 1 BASKETBALL",,,"I WOULD SAY CAN I PLEASE I WOULD DO NOTHING, USE","IT","I WOULD JUST LET HIM HIT ME AND I WOULDN'T EVEN CRY",,"I WOULD SAY WHY ARE YOU MAD? AND HE WILL KICK","ME AND I'LL KICK HIM BACK.","I WOULD CALL THE POLICE OR I WOULD KICK HIS BUTT",,"I WOULD SAY THEN WHY DON'T WE BOTH GO TO JAIL","AS A THREAT TO START A FIGHT","I WOULD TELL ALL MY FRIENDS TO KI","CK HIS BUTT","I WOULD SAY SORRY FOR KICKING YOUR BUTT BUT YO","U WERE SAYING BAD STORIES ABOUT ME AND YOU JUST ALWAYS HAVE TO WATCH BACK","I WOULD MAKE HIM CHOKE AND PUSH","HIM AND GET SOME WATER","I'D SAY WANTA PIECE OF ME AND THEN I'D KICK TH","EIR BUTTS","I WOULD STOP THEM BY SAYING PLEASE","STOP IT I'D SAY GO HOME BROTHER","I MIGHT JUST CALL THE COPS",,"I WOULD CALL HIS MOM",,"I WOULD SAY WHAT ARE YOU DOING YOU LITTLE KIDS",", DON'T FIGHT, IT AIN'T NICE TO FIGHT, I THOUGHT YOU WAS FRIENDS","HPH",1,1,5,2,2,3,3,1,2,2,1,4,4,1,11/15/1998
"SW21422",8,"SW","============================================================================","============================================================================","============================================================================","================================================","============================================================================","============================================================================","============================================================================","==============================================","============================================================================","=======================================================================","============================================================================","==============================================","============================================================================","=================================","============================================================================","==============================================","============================================================================","===============================","============================================================================","==============================================","============================================================================","===================================","============================================================================","==============================================","============================================================================","==================================================","============================================================================","==============================================","============================================================================","RR",,,,,,,,,,,,,,,11/15/1998
"SW21436",8,"SW","ASK AGAIN NICELY",,,"SAY AGAIN, ""CAN I USE YOUR BALL PLEASE?""",,"RUN AWAY",,"STEP ASIDE AND LET HIM GO BY.",,"SAY ""NO""",,"TELL HIM, ""I WILL NOT GIVE YOU MY MONEY""",,"TELL THE TEACHER",,"IGNORE THE STORIES AND THE KID.",,"SAY, ""HEY, DO NOT PUSH ME OUT O","F LINE""","SAY, ""QUIT IT, DON'T PUSH ME""",,"BREAK IT UP",,"SAY, ""STOP FIGHTING OR ELSE I'LL TELL YOUR PAR","ENTS""","TELL THEM TO STOP FIGHTING",,"TELL THEM ""DO NOT FIGHT ANYMORE, I AM SICK OF","THIS""","ZF",1,1,5,5,1,1,4,5,1,1,22,3,1,1,11/15/1998
